dir_name	mean_valid_recall@20	mean_valid_recall@50	mean_valid_ndcg@20	mean_valid_ndcg@50	mean_test_recall@20	mean_test_recall@50	mean_test_ndcg@20	mean_test_ndcg@50
2025041617_0.001_0.0001_256	0.1502	0.246	0.0979	0.1254	0.1518	0.2479	0.112	0.1429
2025041618_0.001_0.001_256	0.1308	0.2161	0.086	0.1105	0.1322	0.2169	0.0983	0.1255
2025041618_0.01_0.0001_256	0.1667	0.2706	0.1082	0.1381	0.1691	0.2723	0.1241	0.1574
2025041618_0.01_0.001_256	0.1332	0.2198	0.0875	0.1123	0.1352	0.2206	0.1002	0.1276
2025041618_0.001_0.0001_512	0.15	0.2457	0.0978	0.1253	0.1518	0.2477	0.112	0.1428
2025041619_0.001_0.001_512	0.131	0.2164	0.0862	0.1107	0.1325	0.2172	0.0986	0.1257
2025041620_0.01_0.0001_512	0.1666	0.2706	0.1083	0.1383	0.1694	0.2723	0.1243	0.1575
2025041620_0.01_0.001_512	0.1334	0.2202	0.0877	0.1125	0.1352	0.2208	0.1002	0.1277
2025041620_0.001_0.0001_1024	0.1501	0.2458	0.0978	0.1253	0.1518	0.2476	0.1121	0.1428
2025041620_0.001_0.001_1024	0.1308	0.216	0.086	0.1105	0.1322	0.2168	0.0984	0.1256
2025041620_0.01_0.0001_1024	0.1667	0.2702	0.1084	0.1382	0.1694	0.2727	0.1245	0.1578
2025041621_0.01_0.001_1024	0.1332	0.2198	0.0875	0.1124	0.1349	0.2209	0.1001	0.1277
