dir_name	mean_valid_recall@20	mean_valid_recall@50	mean_valid_ndcg@20	mean_valid_ndcg@50	mean_test_recall@20	mean_test_recall@50	mean_test_ndcg@20	mean_test_ndcg@50
2025041606_0.01_0.001_256	0.0783	0.1436	0.0459	0.0648	0.0792	0.1442	0.0524	0.0736
2025041606_0.01_0.0001_256	0.0952	0.1698	0.0566	0.0784	0.0964	0.1704	0.065	0.0894
2025041606_0.01_0.0001_512	0.0953	0.1699	0.0566	0.0784	0.0967	0.1706	0.0651	0.0895
2025041606_0.001_0.001_256	0.0747	0.1362	0.0437	0.0615	0.0755	0.1366	0.0499	0.0698
2025041606_0.001_0.0001_512	0.0823	0.1502	0.048	0.0678	0.0834	0.1507	0.055	0.077
2025041606_0.001_0.0001_256	0.082	0.15	0.0478	0.0676	0.0831	0.1505	0.0548	0.0769
2025041606_0.01_0.001_512	0.0789	0.1446	0.0462	0.0652	0.0798	0.145	0.0527	0.0739
2025041606_0.01_0.0001_1024	0.0951	0.1696	0.0565	0.0783	0.0963	0.1702	0.0648	0.0892
2025041606_0.001_0.001_1024	0.0754	0.1374	0.0441	0.0621	0.0762	0.1379	0.0503	0.0704
2025041610_0.01_0.001_1024	0.0789	0.1446	0.0462	0.0653	0.0797	0.1451	0.0526	0.0739
2025041610_0.001_0.0001_1024	0.0825	0.1505	0.0481	0.0679	0.0836	0.1511	0.0551	0.0773
2025041610_0.001_0.001_512	0.0751	0.1368	0.0439	0.0618	0.0759	0.1374	0.0501	0.0702
