dir_name	mean_valid_recall@20	mean_valid_recall@50	mean_valid_ndcg@20	mean_valid_ndcg@50	mean_test_recall@20	mean_test_recall@50	mean_test_ndcg@20	mean_test_ndcg@50
2025041611_0.001_0.0001_256	0.074	0.1407	0.0483	0.0702	0.0757	0.1425	0.0587	0.0846
2025041611_0.001_0.001_256	0.0628	0.1206	0.0412	0.0602	0.0642	0.1224	0.0499	0.0725
2025041613_0.01_0.0001_256	0.0848	0.1591	0.0563	0.0806	0.0867	0.1611	0.068	0.0968
2025041613_0.01_0.001_256	0.0642	0.1227	0.0423	0.0615	0.0657	0.1251	0.0512	0.0742
2025041613_0.001_0.0001_512	0.0738	0.1405	0.0482	0.0701	0.0756	0.1424	0.0586	0.0845
2025041613_0.001_0.001_512	0.0628	0.1205	0.0412	0.0602	0.0642	0.1224	0.0499	0.0725
2025041613_0.01_0.0001_512	0.0849	0.1591	0.0563	0.0807	0.0865	0.161	0.0679	0.0968
2025041614_0.01_0.001_512	0.0645	0.1233	0.0424	0.0617	0.0657	0.1249	0.0513	0.0741
2025041614_0.001_0.0001_1024	0.0738	0.1406	0.0483	0.0702	0.0755	0.1424	0.0586	0.0845
2025041615_0.001_0.001_1024	0.0628	0.1204	0.0413	0.0602	0.0642	0.1224	0.0499	0.0725
2025041615_0.01_0.0001_1024	0.085	0.1591	0.0564	0.0807	0.0867	0.1612	0.0679	0.0969
2025041617_0.01_0.001_1024	0.0642	0.1232	0.0422	0.0616	0.0657	0.1249	0.0512	0.0741
