{'seed': 2024, 'model': 'MF', 'dataset': 'Gowalla', 'min_interaction': 10, 'noise': 0.0, 'add_p': 1.0, 'out_dim': 64, 'use_gpu': True, 'device': device(type='cuda'), 'device_id': [0], 'batch_size': 2048, 'test_batch_size': 2048, 'patience': 100, 'val_interval': 20, 'lr': 0.01, 'weight_decay': 0.0001, 'min_epochs': 40, 'n_epochs': 100, 'rec_top_k': [20, 50], 'method': 'VQ', 'temp': 0.1, 'item_num': 5, 'num_codebook': 1024, 'num_hirearchy': 3, 'begin_adv': 10, 'main_file': '2025041800_0.01_0.0001_10_1024'}
MF
{'device': device(type='cuda'), 'dim': 64, 'denoise_config': {'num_codebook': 1024, 'num_hirearchy': 3, 'codebook_dimension': 64, 'begin_adv': 10}}
#User: 29857, #Item: 40981, #Ratings: 1027361, AvgLen: 34.4, Sparsity: 99.92
Create Dataloader with batch_size:2048
Epoch 0: Rec Loss: 0.5132, Time: 5.76
Epoch 1: Rec Loss: 0.1743, Time: 5.66
Epoch 2: Rec Loss: 0.0748, Time: 5.65
Epoch 3: Rec Loss: 0.0470, Time: 5.62
Epoch 4: Rec Loss: 0.0359, Time: 5.59
Epoch 5: Rec Loss: 0.0311, Time: 5.55
Epoch 6: Rec Loss: 0.0282, Time: 5.47
Epoch 7: Rec Loss: 0.0265, Time: 5.49
Epoch 8: Rec Loss: 0.0254, Time: 5.50
Epoch 9: Rec Loss: 0.0252, Time: 5.55
Epoch 10: Rec Loss: 0.0134, Time: 13.35
Epoch 11: Rec Loss: 0.0128, Time: 13.25
Epoch 12: Rec Loss: 0.0122, Time: 13.26
Epoch 13: Rec Loss: 0.0118, Time: 13.27
Epoch 14: Rec Loss: 0.0114, Time: 13.35
Epoch 15: Rec Loss: 0.0107, Time: 13.27
Epoch 16: Rec Loss: 0.0103, Time: 13.35
Epoch 17: Rec Loss: 0.0103, Time: 13.39
Epoch 18: Rec Loss: 0.0101, Time: 13.47
Epoch 19: Rec Loss: 0.0103, Time: 13.48
Validation - Time: 124.67
Recommendation Performanceat Epoch 19:
Recall@20: 0.0994, NDCG@20: 0.0601;
Recall@50: 0.1711, NDCG@50: 0.0807;
Epoch 20: Rec Loss: 0.0101, Time: 13.47
Epoch 21: Rec Loss: 0.0103, Time: 13.47
Epoch 22: Rec Loss: 0.0103, Time: 13.48
Epoch 23: Rec Loss: 0.0106, Time: 13.48
Epoch 24: Rec Loss: 0.0110, Time: 13.37
Epoch 25: Rec Loss: 0.0109, Time: 13.38
Epoch 26: Rec Loss: 0.0106, Time: 13.35
Epoch 27: Rec Loss: 0.0110, Time: 13.36
Epoch 28: Rec Loss: 0.0111, Time: 13.38
Epoch 29: Rec Loss: 0.0109, Time: 13.37
Epoch 30: Rec Loss: 0.0110, Time: 13.36
Epoch 31: Rec Loss: 0.0109, Time: 13.34
Epoch 32: Rec Loss: 0.0112, Time: 13.34
Epoch 33: Rec Loss: 0.0117, Time: 13.43
Epoch 34: Rec Loss: 0.0120, Time: 13.46
Epoch 35: Rec Loss: 0.0114, Time: 13.50
Epoch 36: Rec Loss: 0.0113, Time: 13.47
Epoch 37: Rec Loss: 0.0111, Time: 13.46
Epoch 38: Rec Loss: 0.0110, Time: 13.48
Epoch 39: Rec Loss: 0.0105, Time: 13.46
Validation - Time: 125.45
Recommendation Performanceat Epoch 39:
Recall@20: 0.0957, NDCG@20: 0.0573;
Recall@50: 0.1701, NDCG@50: 0.0786;
Epoch 40: Rec Loss: 0.0104, Time: 13.38
Epoch 41: Rec Loss: 0.0104, Time: 13.37
Epoch 42: Rec Loss: 0.0109, Time: 13.36
Epoch 43: Rec Loss: 0.0103, Time: 13.37
Epoch 44: Rec Loss: 0.0107, Time: 13.36
Epoch 45: Rec Loss: 0.0110, Time: 13.36
Epoch 46: Rec Loss: 0.0107, Time: 13.34
Epoch 47: Rec Loss: 0.0107, Time: 13.37
Epoch 48: Rec Loss: 0.0106, Time: 13.38
Epoch 49: Rec Loss: 0.0103, Time: 13.46
Epoch 50: Rec Loss: 0.0104, Time: 13.47
Epoch 51: Rec Loss: 0.0102, Time: 13.46
Epoch 52: Rec Loss: 0.0101, Time: 13.45
Epoch 53: Rec Loss: 0.0101, Time: 13.47
Epoch 54: Rec Loss: 0.0106, Time: 13.46
Epoch 55: Rec Loss: 0.0104, Time: 13.47
Epoch 56: Rec Loss: 0.0107, Time: 13.45
Epoch 57: Rec Loss: 0.0102, Time: 13.46
Epoch 58: Rec Loss: 0.0102, Time: 13.48
Epoch 59: Rec Loss: 0.0101, Time: 13.47
Validation - Time: 124.91
Recommendation Performanceat Epoch 59:
Recall@20: 0.0981, NDCG@20: 0.0582;
Recall@50: 0.1734, NDCG@50: 0.0798;
Epoch 60: Rec Loss: 0.0100, Time: 13.35
Epoch 61: Rec Loss: 0.0101, Time: 13.35
Epoch 62: Rec Loss: 0.0100, Time: 13.36
Epoch 63: Rec Loss: 0.0102, Time: 13.36
Epoch 64: Rec Loss: 0.0101, Time: 13.37
Epoch 65: Rec Loss: 0.0103, Time: 13.44
Epoch 66: Rec Loss: 0.0103, Time: 13.47
Epoch 67: Rec Loss: 0.0104, Time: 13.47
Epoch 68: Rec Loss: 0.0106, Time: 13.47
Epoch 69: Rec Loss: 0.0105, Time: 13.45
Epoch 70: Rec Loss: 0.0102, Time: 13.45
Epoch 71: Rec Loss: 0.0100, Time: 13.47
Epoch 72: Rec Loss: 0.0104, Time: 13.46
Epoch 73: Rec Loss: 0.0098, Time: 13.48
Epoch 74: Rec Loss: 0.0103, Time: 13.46
Epoch 75: Rec Loss: 0.0103, Time: 13.46
Epoch 76: Rec Loss: 0.0101, Time: 13.46
Epoch 77: Rec Loss: 0.0097, Time: 13.49
Epoch 78: Rec Loss: 0.0097, Time: 13.46
Epoch 79: Rec Loss: 0.0098, Time: 13.47
Validation - Time: 125.32
Recommendation Performanceat Epoch 79:
Recall@20: 0.0989, NDCG@20: 0.0584;
Recall@50: 0.1748, NDCG@50: 0.0802;
Epoch 80: Rec Loss: 0.0098, Time: 13.37
Epoch 81: Rec Loss: 0.0097, Time: 13.36
Epoch 82: Rec Loss: 0.0095, Time: 13.37
Epoch 83: Rec Loss: 0.0100, Time: 13.36
Epoch 84: Rec Loss: 0.0101, Time: 13.36
Epoch 85: Rec Loss: 0.0096, Time: 13.36
Epoch 86: Rec Loss: 0.0094, Time: 13.36
Epoch 87: Rec Loss: 0.0097, Time: 13.36
Epoch 88: Rec Loss: 0.0100, Time: 13.36
Epoch 89: Rec Loss: 0.0100, Time: 13.36
Epoch 90: Rec Loss: 0.0100, Time: 13.36
Epoch 91: Rec Loss: 0.0100, Time: 13.37
Epoch 92: Rec Loss: 0.0100, Time: 13.36
Epoch 93: Rec Loss: 0.0099, Time: 13.32
Epoch 94: Rec Loss: 0.0095, Time: 13.29
Epoch 95: Rec Loss: 0.0096, Time: 13.28
Epoch 96: Rec Loss: 0.0096, Time: 13.28
Epoch 97: Rec Loss: 0.0097, Time: 13.27
Epoch 98: Rec Loss: 0.0095, Time: 13.26
Epoch 99: Rec Loss: 0.0093, Time: 13.28
Validation - Time: 124.85
Recommendation Performanceat Epoch 99:
Recall@20: 0.1004, NDCG@20: 0.0590;
Recall@50: 0.1807, NDCG@50: 0.0819;
Test - Time: 186.13
Recommendation Performance:
Recall@20: 0.1035, NDCG@20: 0.0674;
Recall@50: 0.1837, NDCG@50: 0.0930;
