{'seed': 2025, 'model': 'LightGCN', 'dataset': 'MIND', 'min_interaction': 10, 'noise': 0.0, 'add_p': 1.0, 'out_dim': 64, 'use_gpu': True, 'device': device(type='cuda'), 'device_id': [0], 'batch_size': 2048, 'test_batch_size': 2048, 'patience': 100, 'val_interval': 20, 'lr': 0.01, 'weight_decay': 0.001, 'min_epochs': 40, 'n_epochs': 100, 'rec_top_k': [20, 50], 'method': 'PLD', 'temp': 0.1, 'item_num': 5, 'num_codebook': 128, 'num_hirearchy': 3, 'main_file': '2025041610_0.01_0.001_128', 'model_config': {'device': device(type='cuda'), 'dim': 64, 'n_layers': 4, 'denoise_config': {'begin_adv': 5, 'item_num': 5, 'temperature': 0.1}, 'n_users': 38441, 'n_items': 38000}, 'checkpoints': 'checkpoints'}
LightGCN
{'device': device(type='cuda'), 'dim': 64, 'n_layers': 4, 'denoise_config': {'begin_adv': 5, 'item_num': 5, 'temperature': 0.1}}
#User: 38441, #Item: 38000, #Ratings: 1210953, AvgLen: 31.5, Sparsity: 99.92
Create Dataloader with batch_size:2048
Epoch 0: Rec Loss: 0.2200, Time: 10.29
Epoch 1: Rec Loss: 0.1918, Time: 10.25
Epoch 2: Rec Loss: 0.1765, Time: 10.24
Epoch 3: Rec Loss: 0.1607, Time: 10.27
Epoch 4: Rec Loss: 0.1516, Time: 10.32
Epoch 5: Rec Loss: 0.0579, Time: 12.14
Epoch 6: Rec Loss: 0.0525, Time: 12.16
Epoch 7: Rec Loss: 0.0504, Time: 12.17
Epoch 8: Rec Loss: 0.0482, Time: 12.16
Epoch 9: Rec Loss: 0.0483, Time: 12.17
Epoch 10: Rec Loss: 0.0473, Time: 12.17
Epoch 11: Rec Loss: 0.0475, Time: 12.17
Epoch 12: Rec Loss: 0.0472, Time: 12.12
Epoch 13: Rec Loss: 0.0472, Time: 12.14
Epoch 14: Rec Loss: 0.0465, Time: 12.15
Epoch 15: Rec Loss: 0.0467, Time: 12.17
Epoch 16: Rec Loss: 0.0472, Time: 12.15
Epoch 17: Rec Loss: 0.0469, Time: 12.15
Epoch 18: Rec Loss: 0.0468, Time: 12.16
Epoch 19: Rec Loss: 0.0471, Time: 12.16
Validation - Time: 151.04
Recommendation Performanceat Epoch 19:
Recall@20: 0.0674, NDCG@20: 0.0395;
Recall@50: 0.1221, NDCG@50: 0.0554;
Epoch 20: Rec Loss: 0.0464, Time: 12.07
Epoch 21: Rec Loss: 0.0472, Time: 12.05
Epoch 22: Rec Loss: 0.0466, Time: 12.03
Epoch 23: Rec Loss: 0.0465, Time: 12.06
Epoch 24: Rec Loss: 0.0473, Time: 12.07
Epoch 25: Rec Loss: 0.0471, Time: 12.14
Epoch 26: Rec Loss: 0.0467, Time: 12.15
Epoch 27: Rec Loss: 0.0470, Time: 12.11
