{'seed': 2025, 'model': 'LightGCN', 'dataset': 'MIND', 'min_interaction': 10, 'noise': 0.0, 'add_p': 1.0, 'out_dim': 64, 'use_gpu': True, 'device': device(type='cuda'), 'device_id': [0], 'batch_size': 2048, 'test_batch_size': 2048, 'patience': 100, 'val_interval': 20, 'lr': 0.01, 'weight_decay': 0.001, 'min_epochs': 40, 'n_epochs': 100, 'rec_top_k': [20, 50], 'method': 'VQ', 'temp': 0.1, 'item_num': 5, 'num_codebook': 1024, 'num_hirearchy': 3, 'main_file': '2025041610_0.01_0.001_1024', 'model_config': {'device': device(type='cuda'), 'dim': 64, 'n_layers': 4, 'denoise_config': {'num_codebook': 1024, 'num_hirearchy': 3, 'codebook_dimension': 64, 'begin_adv': 10}, 'n_users': 38441, 'n_items': 38000}, 'checkpoints': 'checkpoints'}
LightGCN
{'device': device(type='cuda'), 'dim': 64, 'n_layers': 4, 'denoise_config': {'num_codebook': 1024, 'num_hirearchy': 3, 'codebook_dimension': 64, 'begin_adv': 10}}
#User: 38441, #Item: 38000, #Ratings: 1210953, AvgLen: 31.5, Sparsity: 99.92
Create Dataloader with batch_size:2048
Epoch 0: Rec Loss: 0.2200, Time: 10.38
Epoch 1: Rec Loss: 0.1918, Time: 10.36
Epoch 2: Rec Loss: 0.1765, Time: 10.36
Epoch 3: Rec Loss: 0.1607, Time: 10.37
Epoch 4: Rec Loss: 0.1516, Time: 10.36
Epoch 5: Rec Loss: 0.1444, Time: 10.36
Epoch 6: Rec Loss: 0.1398, Time: 10.37
Epoch 7: Rec Loss: 0.1359, Time: 10.37
Epoch 8: Rec Loss: 0.1339, Time: 10.36
Epoch 9: Rec Loss: 0.1310, Time: 10.38
Epoch 10: Rec Loss: 0.0992, Time: 18.99
Epoch 11: Rec Loss: 0.1027, Time: 18.97
Epoch 12: Rec Loss: 0.1041, Time: 18.98
Epoch 13: Rec Loss: 0.1035, Time: 18.97
Epoch 14: Rec Loss: 0.1049, Time: 18.98
Epoch 15: Rec Loss: 0.1029, Time: 18.98
Epoch 16: Rec Loss: 0.1027, Time: 18.98
Epoch 17: Rec Loss: 0.0993, Time: 18.98
Epoch 18: Rec Loss: 0.0938, Time: 19.09
Epoch 19: Rec Loss: 0.0947, Time: 18.94
Validation - Time: 155.78
Recommendation Performanceat Epoch 19:
Recall@20: 0.0775, NDCG@20: 0.0453;
Recall@50: 0.1413, NDCG@50: 0.0638;
Epoch 20: Rec Loss: 0.0943, Time: 18.92
Epoch 21: Rec Loss: 0.0960, Time: 18.92
Epoch 22: Rec Loss: 0.0984, Time: 18.92
Epoch 23: Rec Loss: 0.0930, Time: 18.93
Epoch 24: Rec Loss: 0.0919, Time: 18.94
Epoch 25: Rec Loss: 0.0928, Time: 18.93
Epoch 26: Rec Loss: 0.0920, Time: 18.93
Epoch 27: Rec Loss: 0.0888, Time: 18.93
Epoch 28: Rec Loss: 0.0922, Time: 18.95
Epoch 29: Rec Loss: 0.0894, Time: 18.93
Epoch 30: Rec Loss: 0.0887, Time: 18.94
Epoch 31: Rec Loss: 0.0904, Time: 18.94
Epoch 32: Rec Loss: 0.0915, Time: 18.94
Epoch 33: Rec Loss: 0.0901, Time: 18.97
Epoch 34: Rec Loss: 0.0928, Time: 18.95
Epoch 35: Rec Loss: 0.0862, Time: 18.94
Epoch 36: Rec Loss: 0.0895, Time: 18.94
Epoch 37: Rec Loss: 0.0908, Time: 18.94
Epoch 38: Rec Loss: 0.0928, Time: 18.93
Epoch 39: Rec Loss: 0.0935, Time: 18.95
Validation - Time: 155.47
Recommendation Performanceat Epoch 39:
Recall@20: 0.0782, NDCG@20: 0.0455;
Recall@50: 0.1417, NDCG@50: 0.0639;
Epoch 40: Rec Loss: 0.0889, Time: 18.93
Epoch 41: Rec Loss: 0.0854, Time: 18.92
Epoch 42: Rec Loss: 0.0940, Time: 18.93
Epoch 43: Rec Loss: 0.0960, Time: 19.25
Epoch 44: Rec Loss: 0.0948, Time: 19.22
Epoch 45: Rec Loss: 0.0935, Time: 19.06
Epoch 46: Rec Loss: 0.0879, Time: 19.07
Epoch 47: Rec Loss: 0.0957, Time: 19.08
Epoch 48: Rec Loss: 0.0980, Time: 19.09
Epoch 49: Rec Loss: 0.0987, Time: 19.11
Epoch 50: Rec Loss: 0.0960, Time: 19.09
Epoch 51: Rec Loss: 0.1003, Time: 19.10
Epoch 52: Rec Loss: 0.0928, Time: 19.09
Epoch 53: Rec Loss: 0.0932, Time: 19.09
Epoch 54: Rec Loss: 0.0988, Time: 19.09
Epoch 55: Rec Loss: 0.1013, Time: 19.04
Epoch 56: Rec Loss: 0.1018, Time: 19.05
Epoch 57: Rec Loss: 0.0997, Time: 19.06
Epoch 58: Rec Loss: 0.0965, Time: 19.06
Epoch 59: Rec Loss: 0.0981, Time: 19.08
Validation - Time: 156.50
Recommendation Performanceat Epoch 59:
Recall@20: 0.0799, NDCG@20: 0.0466;
Recall@50: 0.1465, NDCG@50: 0.0659;
Epoch 60: Rec Loss: 0.1001, Time: 19.04
Epoch 61: Rec Loss: 0.1002, Time: 18.99
Epoch 62: Rec Loss: 0.0993, Time: 18.94
Epoch 63: Rec Loss: 0.0995, Time: 19.04
Epoch 64: Rec Loss: 0.0955, Time: 19.07
Epoch 65: Rec Loss: 0.0996, Time: 19.06
Epoch 66: Rec Loss: 0.0970, Time: 19.21
Epoch 67: Rec Loss: 0.0945, Time: 19.13
Epoch 68: Rec Loss: 0.0990, Time: 19.19
Epoch 69: Rec Loss: 0.0994, Time: 19.17
Epoch 70: Rec Loss: 0.0907, Time: 19.07
Epoch 71: Rec Loss: 0.0931, Time: 19.06
Epoch 72: Rec Loss: 0.0951, Time: 19.17
Epoch 73: Rec Loss: 0.1013, Time: 19.17
Epoch 74: Rec Loss: 0.0990, Time: 19.16
Epoch 75: Rec Loss: 0.0953, Time: 19.11
Epoch 76: Rec Loss: 0.1009, Time: 19.19
Epoch 77: Rec Loss: 0.0973, Time: 19.18
Epoch 78: Rec Loss: 0.0992, Time: 19.18
Epoch 79: Rec Loss: 0.0959, Time: 19.18
Validation - Time: 158.62
Recommendation Performanceat Epoch 79:
Recall@20: 0.0797, NDCG@20: 0.0464;
Recall@50: 0.1442, NDCG@50: 0.0651;
Epoch 80: Rec Loss: 0.0984, Time: 19.01
Epoch 81: Rec Loss: 0.0957, Time: 19.02
Epoch 82: Rec Loss: 0.0921, Time: 19.04
Epoch 83: Rec Loss: 0.0980, Time: 19.18
Epoch 84: Rec Loss: 0.0985, Time: 19.09
Epoch 85: Rec Loss: 0.1012, Time: 19.10
Epoch 86: Rec Loss: 0.0933, Time: 19.18
Epoch 87: Rec Loss: 0.0971, Time: 19.21
Epoch 88: Rec Loss: 0.1005, Time: 19.18
Epoch 89: Rec Loss: 0.1011, Time: 19.15
Epoch 90: Rec Loss: 0.0990, Time: 19.11
Epoch 91: Rec Loss: 0.0992, Time: 19.11
Epoch 92: Rec Loss: 0.0981, Time: 19.06
Epoch 93: Rec Loss: 0.0994, Time: 19.07
Epoch 94: Rec Loss: 0.0992, Time: 19.08
Epoch 95: Rec Loss: 0.0985, Time: 19.07
Epoch 96: Rec Loss: 0.0969, Time: 19.08
Epoch 97: Rec Loss: 0.0934, Time: 19.07
Epoch 98: Rec Loss: 0.0978, Time: 19.08
Epoch 99: Rec Loss: 0.0999, Time: 19.10
Validation - Time: 156.68
Recommendation Performanceat Epoch 99:
Recall@20: 0.0800, NDCG@20: 0.0467;
Recall@50: 0.1463, NDCG@50: 0.0659;
Test - Time: 229.09
Recommendation Performance:
Recall@20: 0.0806, NDCG@20: 0.0536;
Recall@50: 0.1453, NDCG@50: 0.0747;
