{'seed': 2024, 'model': 'LightGCN', 'dataset': 'MIND', 'min_interaction': 10, 'noise': 0.0, 'add_p': 1.0, 'out_dim': 64, 'use_gpu': True, 'device': device(type='cuda'), 'device_id': [0], 'batch_size': 2048, 'test_batch_size': 2048, 'patience': 100, 'val_interval': 20, 'lr': 0.01, 'weight_decay': 0.0001, 'min_epochs': 40, 'n_epochs': 100, 'rec_top_k': [20, 50], 'method': 'VQ', 'temp': 0.1, 'item_num': 5, 'num_codebook': 2048, 'num_hirearchy': 3, 'begin_adv': 20, 'main_file': '2025041713_0.01_0.0001_20_2048'}
LightGCN
{'device': device(type='cuda'), 'dim': 64, 'n_layers': 4, 'denoise_config': {'num_codebook': 2048, 'num_hirearchy': 3, 'codebook_dimension': 64, 'begin_adv': 20}}
#User: 38441, #Item: 38000, #Ratings: 1210953, AvgLen: 31.5, Sparsity: 99.92
Create Dataloader with batch_size:2048
/home/minseo/vq2/PLD/utls/mydataset.py:196: UserWarning: torch.sparse.SparseTensor(indices, values, shape, *, device=) is deprecated.  Please use torch.sparse_coo_tensor(indices, values, shape, dtype=, device=). (Triggered internally at /opt/conda/conda-bld/pytorch_1708025845206/work/torch/csrc/utils/tensor_new.cpp:618.)
  Graph = torch.sparse.IntTensor(index, data, torch.Size([self.n_users+self.n_items, self.n_users+self.n_items]))
Epoch 0: Rec Loss: 0.2098, Time: 10.72
Epoch 1: Rec Loss: 0.1702, Time: 10.54
Epoch 2: Rec Loss: 0.1416, Time: 10.53
Epoch 3: Rec Loss: 0.1173, Time: 10.55
Epoch 4: Rec Loss: 0.1000, Time: 10.55
Epoch 5: Rec Loss: 0.0872, Time: 10.57
Epoch 6: Rec Loss: 0.0775, Time: 10.57
Epoch 7: Rec Loss: 0.0704, Time: 10.57
Epoch 8: Rec Loss: 0.0651, Time: 10.55
Epoch 9: Rec Loss: 0.0604, Time: 10.55
Epoch 10: Rec Loss: 0.0572, Time: 10.56
Epoch 11: Rec Loss: 0.0547, Time: 10.55
Epoch 12: Rec Loss: 0.0530, Time: 10.56
Epoch 13: Rec Loss: 0.0502, Time: 10.48
Epoch 14: Rec Loss: 0.0492, Time: 10.36
Epoch 15: Rec Loss: 0.0480, Time: 10.37
Epoch 16: Rec Loss: 0.0468, Time: 10.39
Epoch 17: Rec Loss: 0.0458, Time: 10.37
Epoch 18: Rec Loss: 0.0448, Time: 10.37
Epoch 19: Rec Loss: 0.0438, Time: 10.46
Validation - Time: 153.44
Recommendation Performanceat Epoch 19:
Recall@20: 0.0859, NDCG@20: 0.0505;
Recall@50: 0.1557, NDCG@50: 0.0708;
Epoch 20: Rec Loss: 0.0297, Time: 26.89
Epoch 21: Rec Loss: 0.0315, Time: 26.86
Epoch 22: Rec Loss: 0.0319, Time: 26.88
Epoch 23: Rec Loss: 0.0320, Time: 26.90
Epoch 24: Rec Loss: 0.0316, Time: 26.90
Epoch 25: Rec Loss: 0.0315, Time: 26.91
Epoch 26: Rec Loss: 0.0311, Time: 26.90
Epoch 27: Rec Loss: 0.0309, Time: 26.75
Epoch 28: Rec Loss: 0.0311, Time: 26.74
Epoch 29: Rec Loss: 0.0308, Time: 26.73
Epoch 30: Rec Loss: 0.0304, Time: 26.74
Epoch 31: Rec Loss: 0.0301, Time: 26.77
Epoch 32: Rec Loss: 0.0296, Time: 26.83
Epoch 33: Rec Loss: 0.0293, Time: 26.88
Epoch 34: Rec Loss: 0.0294, Time: 26.94
Epoch 35: Rec Loss: 0.0288, Time: 26.91
Epoch 36: Rec Loss: 0.0288, Time: 26.92
Epoch 37: Rec Loss: 0.0286, Time: 26.92
Epoch 38: Rec Loss: 0.0287, Time: 26.92
Epoch 39: Rec Loss: 0.0285, Time: 26.91
Validation - Time: 155.46
Recommendation Performanceat Epoch 39:
Recall@20: 0.0917, NDCG@20: 0.0545;
Recall@50: 0.1647, NDCG@50: 0.0758;
Epoch 40: Rec Loss: 0.0283, Time: 26.76
Epoch 41: Rec Loss: 0.0283, Time: 26.75
Epoch 42: Rec Loss: 0.0284, Time: 26.77
Epoch 43: Rec Loss: 0.0283, Time: 26.90
Epoch 44: Rec Loss: 0.0284, Time: 26.92
Epoch 45: Rec Loss: 0.0285, Time: 26.91
Epoch 46: Rec Loss: 0.0282, Time: 26.91
Epoch 47: Rec Loss: 0.0280, Time: 26.91
Epoch 48: Rec Loss: 0.0282, Time: 26.91
Epoch 49: Rec Loss: 0.0285, Time: 26.91
Epoch 50: Rec Loss: 0.0283, Time: 26.91
Epoch 51: Rec Loss: 0.0280, Time: 27.04
Epoch 52: Rec Loss: 0.0276, Time: 26.81
Epoch 53: Rec Loss: 0.0275, Time: 26.74
Epoch 54: Rec Loss: 0.0279, Time: 26.75
Epoch 55: Rec Loss: 0.0276, Time: 26.74
Epoch 56: Rec Loss: 0.0275, Time: 26.75
Epoch 57: Rec Loss: 0.0275, Time: 26.74
Epoch 58: Rec Loss: 0.0276, Time: 26.85
Epoch 59: Rec Loss: 0.0272, Time: 26.93
Validation - Time: 154.93
Recommendation Performanceat Epoch 59:
Recall@20: 0.0928, NDCG@20: 0.0555;
Recall@50: 0.1670, NDCG@50: 0.0771;
Epoch 60: Rec Loss: 0.0274, Time: 26.92
Epoch 61: Rec Loss: 0.0271, Time: 26.92
Epoch 62: Rec Loss: 0.0273, Time: 26.84
Epoch 63: Rec Loss: 0.0270, Time: 26.83
Epoch 64: Rec Loss: 0.0272, Time: 26.55
Epoch 65: Rec Loss: 0.0270, Time: 26.56
Epoch 66: Rec Loss: 0.0269, Time: 26.55
Epoch 67: Rec Loss: 0.0268, Time: 27.36
Epoch 68: Rec Loss: 0.0269, Time: 26.99
Epoch 69: Rec Loss: 0.0269, Time: 26.71
Epoch 70: Rec Loss: 0.0269, Time: 26.75
Epoch 71: Rec Loss: 0.0269, Time: 26.73
Epoch 72: Rec Loss: 0.0269, Time: 26.79
Epoch 73: Rec Loss: 0.0271, Time: 26.76
Epoch 74: Rec Loss: 0.0271, Time: 26.77
Epoch 75: Rec Loss: 0.0274, Time: 26.78
Epoch 76: Rec Loss: 0.0274, Time: 27.25
Epoch 77: Rec Loss: 0.0272, Time: 28.10
Epoch 78: Rec Loss: 0.0271, Time: 26.93
Epoch 79: Rec Loss: 0.0271, Time: 26.90
Validation - Time: 154.74
Recommendation Performanceat Epoch 79:
Recall@20: 0.0934, NDCG@20: 0.0558;
Recall@50: 0.1683, NDCG@50: 0.0776;
Epoch 80: Rec Loss: 0.0273, Time: 26.75
Epoch 81: Rec Loss: 0.0273, Time: 26.74
Epoch 82: Rec Loss: 0.0276, Time: 26.75
Epoch 83: Rec Loss: 0.0272, Time: 26.74
Epoch 84: Rec Loss: 0.0273, Time: 26.73
Epoch 85: Rec Loss: 0.0272, Time: 26.83
Epoch 86: Rec Loss: 0.0272, Time: 26.92
Epoch 87: Rec Loss: 0.0274, Time: 26.89
Epoch 88: Rec Loss: 0.0271, Time: 26.88
Epoch 89: Rec Loss: 0.0270, Time: 26.88
Epoch 90: Rec Loss: 0.0274, Time: 26.85
Epoch 91: Rec Loss: 0.0272, Time: 26.86
Epoch 92: Rec Loss: 0.0271, Time: 26.89
Epoch 93: Rec Loss: 0.0272, Time: 26.89
Epoch 94: Rec Loss: 0.0269, Time: 26.91
Epoch 95: Rec Loss: 0.0270, Time: 26.74
Epoch 96: Rec Loss: 0.0270, Time: 26.72
Epoch 97: Rec Loss: 0.0272, Time: 26.73
Epoch 98: Rec Loss: 0.0268, Time: 26.71
Epoch 99: Rec Loss: 0.0267, Time: 26.72
Validation - Time: 154.18
Recommendation Performanceat Epoch 99:
Recall@20: 0.0944, NDCG@20: 0.0561;
Recall@50: 0.1691, NDCG@50: 0.0779;
Test - Time: 224.57
Recommendation Performance:
Recall@20: 0.0970, NDCG@20: 0.0649;
Recall@50: 0.1705, NDCG@50: 0.0891;
