{'seed': 2024, 'model': 'MF', 'dataset': 'MIND', 'min_interaction': 10, 'noise': 0.0, 'add_p': 1.0, 'out_dim': 64, 'use_gpu': True, 'device': device(type='cuda'), 'device_id': [0], 'batch_size': 2048, 'test_batch_size': 2048, 'patience': 100, 'val_interval': 20, 'lr': 0.001, 'weight_decay': 0.001, 'min_epochs': 40, 'n_epochs': 100, 'rec_top_k': [20, 50], 'method': 'VQ', 'temp': 0.1, 'item_num': 5, 'num_codebook': 512, 'num_hirearchy': 3, 'begin_adv': 10, 'ema': 0.5, 'main_file': '2025041916_0.001_0.001_10_0.5_512'}
MF
{'device': device(type='cuda'), 'dim': 64, 'denoise_config': {'num_codebook': 512, 'num_hirearchy': 3, 'codebook_dimension': 64, 'begin_adv': 10, 'ema': 0.5}}
#User: 38441, #Item: 38000, #Ratings: 1210953, AvgLen: 31.5, Sparsity: 99.92
Create Dataloader with batch_size:2048
Epoch 0: Rec Loss: 0.6869, Time: 6.75
Epoch 1: Rec Loss: 0.6613, Time: 6.61
Epoch 2: Rec Loss: 0.6084, Time: 6.58
Epoch 3: Rec Loss: 0.4806, Time: 6.62
Epoch 4: Rec Loss: 0.3201, Time: 6.62
Epoch 5: Rec Loss: 0.2221, Time: 6.61
Epoch 6: Rec Loss: 0.1754, Time: 6.61
Epoch 7: Rec Loss: 0.1517, Time: 6.61
Epoch 8: Rec Loss: 0.1371, Time: 6.61
Epoch 9: Rec Loss: 0.1268, Time: 6.68
Epoch 10: Rec Loss: 0.0764, Time: 11.98
Epoch 11: Rec Loss: 0.0738, Time: 11.94
Epoch 12: Rec Loss: 0.0716, Time: 11.91
Epoch 13: Rec Loss: 0.0688, Time: 11.91
Epoch 14: Rec Loss: 0.0648, Time: 11.92
Epoch 15: Rec Loss: 0.0611, Time: 11.92
Epoch 16: Rec Loss: 0.0580, Time: 11.93
Epoch 17: Rec Loss: 0.0560, Time: 11.91
Epoch 18: Rec Loss: 0.0550, Time: 11.91
Epoch 19: Rec Loss: 0.0533, Time: 11.91
Validation - Time: 154.18
Recommendation Performanceat Epoch 19:
Recall@20: 0.0595, NDCG@20: 0.0345;
Recall@50: 0.1089, NDCG@50: 0.0491;
Epoch 20: Rec Loss: 0.0523, Time: 11.93
Epoch 21: Rec Loss: 0.0518, Time: 11.92
Epoch 22: Rec Loss: 0.0514, Time: 11.94
Epoch 23: Rec Loss: 0.0520, Time: 11.92
Epoch 24: Rec Loss: 0.0507, Time: 11.91
Epoch 25: Rec Loss: 0.0495, Time: 11.93
Epoch 26: Rec Loss: 0.0486, Time: 11.93
Epoch 27: Rec Loss: 0.0486, Time: 11.93
Epoch 28: Rec Loss: 0.0485, Time: 11.92
Epoch 29: Rec Loss: 0.0482, Time: 11.94
Epoch 30: Rec Loss: 0.0476, Time: 11.93
Epoch 31: Rec Loss: 0.0469, Time: 11.95
Epoch 32: Rec Loss: 0.0462, Time: 11.92
Epoch 33: Rec Loss: 0.0460, Time: 11.95
Epoch 34: Rec Loss: 0.0453, Time: 11.93
Epoch 35: Rec Loss: 0.0452, Time: 11.93
Epoch 36: Rec Loss: 0.0452, Time: 11.93
Epoch 37: Rec Loss: 0.0450, Time: 11.93
Epoch 38: Rec Loss: 0.0446, Time: 11.94
Epoch 39: Rec Loss: 0.0442, Time: 11.88
Validation - Time: 149.72
Recommendation Performanceat Epoch 39:
Recall@20: 0.0623, NDCG@20: 0.0366;
Recall@50: 0.1167, NDCG@50: 0.0526;
Epoch 40: Rec Loss: 0.0439, Time: 11.97
Epoch 41: Rec Loss: 0.0438, Time: 11.96
Epoch 42: Rec Loss: 0.0439, Time: 11.93
Epoch 43: Rec Loss: 0.0436, Time: 11.95
Epoch 44: Rec Loss: 0.0435, Time: 11.95
Epoch 45: Rec Loss: 0.0427, Time: 11.94
Epoch 46: Rec Loss: 0.0431, Time: 11.93
Epoch 47: Rec Loss: 0.0427, Time: 11.96
Epoch 48: Rec Loss: 0.0425, Time: 11.95
Epoch 49: Rec Loss: 0.0424, Time: 11.95
Epoch 50: Rec Loss: 0.0423, Time: 11.94
Epoch 51: Rec Loss: 0.0422, Time: 11.95
Epoch 52: Rec Loss: 0.0419, Time: 11.94
Epoch 53: Rec Loss: 0.0417, Time: 11.95
Epoch 54: Rec Loss: 0.0413, Time: 11.92
Epoch 55: Rec Loss: 0.0412, Time: 11.96
Epoch 56: Rec Loss: 0.0411, Time: 11.94
Epoch 57: Rec Loss: 0.0408, Time: 11.94
Epoch 58: Rec Loss: 0.0405, Time: 11.96
Epoch 59: Rec Loss: 0.0403, Time: 11.93
Validation - Time: 150.13
Recommendation Performanceat Epoch 59:
Recall@20: 0.0667, NDCG@20: 0.0391;
Recall@50: 0.1228, NDCG@50: 0.0554;
Epoch 60: Rec Loss: 0.0402, Time: 11.95
Epoch 61: Rec Loss: 0.0401, Time: 11.96
Epoch 62: Rec Loss: 0.0400, Time: 11.95
Epoch 63: Rec Loss: 0.0401, Time: 11.95
Epoch 64: Rec Loss: 0.0397, Time: 11.95
Epoch 65: Rec Loss: 0.0394, Time: 11.95
Epoch 66: Rec Loss: 0.0393, Time: 11.96
Epoch 67: Rec Loss: 0.0392, Time: 11.95
Epoch 68: Rec Loss: 0.0392, Time: 11.96
Epoch 69: Rec Loss: 0.0388, Time: 11.94
Epoch 70: Rec Loss: 0.0388, Time: 11.94
Epoch 71: Rec Loss: 0.0387, Time: 11.94
Epoch 72: Rec Loss: 0.0386, Time: 11.96
Epoch 73: Rec Loss: 0.0384, Time: 11.94
