{'seed': 2024, 'model': 'MF', 'dataset': 'MIND', 'min_interaction': 10, 'noise': 0.0, 'add_p': 1.0, 'out_dim': 64, 'use_gpu': True, 'device': device(type='cuda'), 'device_id': [0], 'batch_size': 2048, 'test_batch_size': 2048, 'patience': 100, 'val_interval': 20, 'lr': 0.001, 'weight_decay': 0.001, 'min_epochs': 40, 'n_epochs': 100, 'rec_top_k': [20, 50], 'method': 'VQ', 'temp': 0.1, 'item_num': 5, 'num_codebook': 1024, 'num_hirearchy': 3, 'begin_adv': 10, 'main_file': '2025041708_0.001_0.001_1024'}
MF
{'device': device(type='cuda'), 'dim': 64, 'denoise_config': {'num_codebook': 1024, 'num_hirearchy': 3, 'codebook_dimension': 64, 'begin_adv': 10}}
#User: 38441, #Item: 38000, #Ratings: 1210953, AvgLen: 31.5, Sparsity: 99.92
Create Dataloader with batch_size:2048
Epoch 0: Rec Loss: 0.6869, Time: 6.59
Epoch 1: Rec Loss: 0.6613, Time: 6.47
Epoch 2: Rec Loss: 0.6084, Time: 6.49
Epoch 3: Rec Loss: 0.4806, Time: 6.49
Epoch 4: Rec Loss: 0.3201, Time: 6.48
Epoch 5: Rec Loss: 0.2221, Time: 6.48
Epoch 6: Rec Loss: 0.1754, Time: 6.48
Epoch 7: Rec Loss: 0.1517, Time: 6.48
Epoch 8: Rec Loss: 0.1371, Time: 6.50
Epoch 9: Rec Loss: 0.1268, Time: 6.56
Epoch 10: Rec Loss: 0.0762, Time: 15.59
Epoch 11: Rec Loss: 0.0752, Time: 15.49
Epoch 12: Rec Loss: 0.0710, Time: 15.49
Epoch 13: Rec Loss: 0.0660, Time: 15.50
Epoch 14: Rec Loss: 0.0646, Time: 15.51
Epoch 15: Rec Loss: 0.0609, Time: 15.39
Epoch 16: Rec Loss: 0.0582, Time: 15.53
Epoch 17: Rec Loss: 0.0561, Time: 15.47
Epoch 18: Rec Loss: 0.0544, Time: 15.37
Epoch 19: Rec Loss: 0.0528, Time: 15.45
Validation - Time: 154.69
Recommendation Performanceat Epoch 19:
Recall@20: 0.0592, NDCG@20: 0.0345;
Recall@50: 0.1085, NDCG@50: 0.0490;
Epoch 20: Rec Loss: 0.0515, Time: 15.57
Epoch 21: Rec Loss: 0.0504, Time: 15.60
Epoch 22: Rec Loss: 0.0494, Time: 15.56
Epoch 23: Rec Loss: 0.0486, Time: 15.58
Epoch 24: Rec Loss: 0.0479, Time: 15.56
Epoch 25: Rec Loss: 0.0472, Time: 15.50
Epoch 26: Rec Loss: 0.0467, Time: 15.47
Epoch 27: Rec Loss: 0.0464, Time: 15.47
Epoch 28: Rec Loss: 0.0464, Time: 15.50
Epoch 29: Rec Loss: 0.0463, Time: 15.49
Epoch 30: Rec Loss: 0.0456, Time: 15.47
Epoch 31: Rec Loss: 0.0452, Time: 15.47
Epoch 32: Rec Loss: 0.0447, Time: 15.50
Epoch 33: Rec Loss: 0.0456, Time: 15.47
Epoch 34: Rec Loss: 0.0452, Time: 15.49
Epoch 35: Rec Loss: 0.0452, Time: 15.60
Epoch 36: Rec Loss: 0.0442, Time: 15.57
Epoch 37: Rec Loss: 0.0437, Time: 15.54
Epoch 38: Rec Loss: 0.0439, Time: 15.55
Epoch 39: Rec Loss: 0.0437, Time: 15.55
Validation - Time: 155.67
Recommendation Performanceat Epoch 39:
Recall@20: 0.0626, NDCG@20: 0.0369;
Recall@50: 0.1175, NDCG@50: 0.0529;
Epoch 40: Rec Loss: 0.0444, Time: 15.54
Epoch 41: Rec Loss: 0.0441, Time: 15.47
Epoch 42: Rec Loss: 0.0437, Time: 15.49
Epoch 43: Rec Loss: 0.0437, Time: 15.50
Epoch 44: Rec Loss: 0.0432, Time: 15.48
Epoch 45: Rec Loss: 0.0431, Time: 15.47
Epoch 46: Rec Loss: 0.0432, Time: 15.46
Epoch 47: Rec Loss: 0.0429, Time: 15.47
Epoch 48: Rec Loss: 0.0429, Time: 15.51
Epoch 49: Rec Loss: 0.0429, Time: 15.49
Epoch 50: Rec Loss: 0.0426, Time: 15.56
Epoch 51: Rec Loss: 0.0427, Time: 15.57
Epoch 52: Rec Loss: 0.0426, Time: 15.52
Epoch 53: Rec Loss: 0.0423, Time: 15.53
Epoch 54: Rec Loss: 0.0420, Time: 15.55
Epoch 55: Rec Loss: 0.0416, Time: 15.58
Epoch 56: Rec Loss: 0.0417, Time: 15.57
Epoch 57: Rec Loss: 0.0415, Time: 15.58
Epoch 58: Rec Loss: 0.0413, Time: 15.57
Epoch 59: Rec Loss: 0.0410, Time: 15.61
Validation - Time: 154.74
Recommendation Performanceat Epoch 59:
Recall@20: 0.0663, NDCG@20: 0.0390;
Recall@50: 0.1224, NDCG@50: 0.0554;
Epoch 60: Rec Loss: 0.0410, Time: 15.49
Epoch 61: Rec Loss: 0.0406, Time: 15.49
Epoch 62: Rec Loss: 0.0405, Time: 15.50
Epoch 63: Rec Loss: 0.0405, Time: 15.48
Epoch 64: Rec Loss: 0.0401, Time: 15.47
Epoch 65: Rec Loss: 0.0398, Time: 15.51
Epoch 66: Rec Loss: 0.0397, Time: 15.58
Epoch 67: Rec Loss: 0.0395, Time: 15.57
Epoch 68: Rec Loss: 0.0395, Time: 15.62
Epoch 69: Rec Loss: 0.0393, Time: 15.59
Epoch 70: Rec Loss: 0.0391, Time: 15.58
Epoch 71: Rec Loss: 0.0390, Time: 15.60
Epoch 72: Rec Loss: 0.0389, Time: 15.59
Epoch 73: Rec Loss: 0.0387, Time: 15.60
Epoch 74: Rec Loss: 0.0386, Time: 15.60
Epoch 75: Rec Loss: 0.0386, Time: 15.62
Epoch 76: Rec Loss: 0.0385, Time: 15.58
Epoch 77: Rec Loss: 0.0383, Time: 15.61
Epoch 78: Rec Loss: 0.0383, Time: 15.57
Epoch 79: Rec Loss: 0.0382, Time: 15.59
Validation - Time: 154.12
Recommendation Performanceat Epoch 79:
Recall@20: 0.0686, NDCG@20: 0.0405;
Recall@50: 0.1273, NDCG@50: 0.0576;
Epoch 80: Rec Loss: 0.0381, Time: 15.45
Epoch 81: Rec Loss: 0.0380, Time: 15.52
Epoch 82: Rec Loss: 0.0382, Time: 15.58
Epoch 83: Rec Loss: 0.0379, Time: 15.57
Epoch 84: Rec Loss: 0.0379, Time: 15.59
Epoch 85: Rec Loss: 0.0377, Time: 15.57
Epoch 86: Rec Loss: 0.0376, Time: 15.59
Epoch 87: Rec Loss: 0.0377, Time: 15.58
Epoch 88: Rec Loss: 0.0374, Time: 15.60
Epoch 89: Rec Loss: 0.0373, Time: 15.58
Epoch 90: Rec Loss: 0.0375, Time: 15.57
Epoch 91: Rec Loss: 0.0372, Time: 15.56
Epoch 92: Rec Loss: 0.0373, Time: 15.60
Epoch 93: Rec Loss: 0.0373, Time: 15.54
Epoch 94: Rec Loss: 0.0372, Time: 15.54
Epoch 95: Rec Loss: 0.0371, Time: 15.57
Epoch 96: Rec Loss: 0.0369, Time: 15.58
Epoch 97: Rec Loss: 0.0371, Time: 15.49
Epoch 98: Rec Loss: 0.0371, Time: 15.50
Epoch 99: Rec Loss: 0.0369, Time: 15.48
Validation - Time: 154.22
Recommendation Performanceat Epoch 99:
Recall@20: 0.0714, NDCG@20: 0.0417;
Recall@50: 0.1321, NDCG@50: 0.0594;
Test - Time: 225.51
Recommendation Performance:
Recall@20: 0.0725, NDCG@20: 0.0481;
Recall@50: 0.1318, NDCG@50: 0.0676;
