{'seed': 2027, 'model': 'MF', 'dataset': 'MIND', 'min_interaction': 10, 'noise': 0.0, 'add_p': 1.0, 'out_dim': 64, 'use_gpu': True, 'device': device(type='cuda'), 'device_id': [0], 'batch_size': 2048, 'test_batch_size': 2048, 'patience': 100, 'val_interval': 20, 'lr': 0.01, 'weight_decay': 0.001, 'min_epochs': 40, 'n_epochs': 100, 'rec_top_k': [20, 50], 'method': 'VQ', 'temp': 0.1, 'item_num': 5, 'num_codebook': 1024, 'num_hirearchy': 3, 'begin_adv': 10, 'main_file': '2025041708_0.01_0.001_1024', 'model_config': {'device': device(type='cuda'), 'dim': 64, 'denoise_config': {'num_codebook': 1024, 'num_hirearchy': 3, 'codebook_dimension': 64, 'begin_adv': 10}, 'n_users': 38441, 'n_items': 38000}, 'checkpoints': 'checkpoints'}
MF
{'device': device(type='cuda'), 'dim': 64, 'denoise_config': {'num_codebook': 1024, 'num_hirearchy': 3, 'codebook_dimension': 64, 'begin_adv': 10}}
#User: 38441, #Item: 38000, #Ratings: 1210953, AvgLen: 31.5, Sparsity: 99.92
Create Dataloader with batch_size:2048
Epoch 0: Rec Loss: 0.4421, Time: 6.87
Epoch 1: Rec Loss: 0.1319, Time: 6.86
Epoch 2: Rec Loss: 0.1088, Time: 6.85
Epoch 3: Rec Loss: 0.0999, Time: 6.86
Epoch 4: Rec Loss: 0.0950, Time: 6.87
Epoch 5: Rec Loss: 0.0916, Time: 6.85
Epoch 6: Rec Loss: 0.0892, Time: 6.86
Epoch 7: Rec Loss: 0.0874, Time: 6.86
Epoch 8: Rec Loss: 0.0856, Time: 6.80
Epoch 9: Rec Loss: 0.0839, Time: 6.85
Epoch 10: Rec Loss: 0.0611, Time: 16.03
Epoch 11: Rec Loss: 0.0569, Time: 15.95
Epoch 12: Rec Loss: 0.0547, Time: 15.93
Epoch 13: Rec Loss: 0.0523, Time: 15.95
Epoch 14: Rec Loss: 0.0514, Time: 15.94
Epoch 15: Rec Loss: 0.0513, Time: 15.95
Epoch 16: Rec Loss: 0.0509, Time: 15.88
Epoch 17: Rec Loss: 0.0513, Time: 15.84
Epoch 18: Rec Loss: 0.0519, Time: 15.82
Epoch 19: Rec Loss: 0.0525, Time: 15.83
Validation - Time: 155.99
Recommendation Performanceat Epoch 19:
Recall@20: 0.0507, NDCG@20: 0.0278;
