{'seed': 2024, 'model': 'MF', 'dataset': 'MIND', 'min_interaction': 10, 'noise': 0.0, 'add_p': 1.0, 'out_dim': 64, 'use_gpu': True, 'device': device(type='cuda'), 'device_id': [0], 'batch_size': 2048, 'test_batch_size': 2048, 'patience': 100, 'val_interval': 20, 'lr': 0.01, 'weight_decay': 0.1, 'min_epochs': 40, 'n_epochs': 100, 'rec_top_k': [20, 50], 'method': 'VQ', 'temp': 0.1, 'item_num': 5, 'num_codebook': 1024, 'num_hirearchy': 3, 'begin_adv': 10, 'main_file': '2025041716_0.01_0.1_10_1024'}
MF
{'device': device(type='cuda'), 'dim': 64, 'denoise_config': {'num_codebook': 1024, 'num_hirearchy': 3, 'codebook_dimension': 64, 'begin_adv': 10}}
#User: 38441, #Item: 38000, #Ratings: 1210953, AvgLen: 31.5, Sparsity: 99.92
Create Dataloader with batch_size:2048
Epoch 0: Rec Loss: 0.7097, Time: 6.79
Epoch 1: Rec Loss: 0.5588, Time: 6.67
Epoch 2: Rec Loss: 0.5571, Time: 6.67
Epoch 3: Rec Loss: 0.5554, Time: 6.65
Epoch 4: Rec Loss: 0.5577, Time: 6.66
Epoch 5: Rec Loss: 0.5578, Time: 6.66
Epoch 6: Rec Loss: 0.5572, Time: 6.68
Epoch 7: Rec Loss: 0.5570, Time: 6.65
Epoch 8: Rec Loss: 0.5579, Time: 6.66
Epoch 9: Rec Loss: 0.5587, Time: 6.72
Epoch 10: Rec Loss: 0.4245, Time: 15.66
Epoch 11: Rec Loss: 0.4680, Time: 15.62
Epoch 12: Rec Loss: 0.4980, Time: 15.63
Epoch 13: Rec Loss: 0.4992, Time: 15.52
Epoch 14: Rec Loss: 0.4952, Time: 15.52
Epoch 15: Rec Loss: 0.4923, Time: 15.51
Epoch 16: Rec Loss: 0.4803, Time: 15.52
Epoch 17: Rec Loss: 0.4758, Time: 15.51
Epoch 18: Rec Loss: 0.4790, Time: 15.53
Epoch 19: Rec Loss: 0.4851, Time: 15.53
Validation - Time: 151.59
Recommendation Performanceat Epoch 19:
Recall@20: 0.0008, NDCG@20: 0.0004;
Recall@50: 0.0023, NDCG@50: 0.0008;
Epoch 20: Rec Loss: 0.4848, Time: 15.65
Epoch 21: Rec Loss: 0.4779, Time: 15.63
Epoch 22: Rec Loss: 0.4816, Time: 15.63
Epoch 23: Rec Loss: 0.4871, Time: 15.62
Epoch 24: Rec Loss: 0.4852, Time: 15.62
Epoch 25: Rec Loss: 0.4881, Time: 15.63
Epoch 26: Rec Loss: 0.4950, Time: 15.53
Epoch 27: Rec Loss: 0.4956, Time: 15.53
Epoch 28: Rec Loss: 0.4991, Time: 15.52
Epoch 29: Rec Loss: 0.5023, Time: 15.53
Epoch 30: Rec Loss: 0.5036, Time: 15.53
Epoch 31: Rec Loss: 0.4991, Time: 15.53
Epoch 32: Rec Loss: 0.4995, Time: 15.53
Epoch 33: Rec Loss: 0.5008, Time: 15.52
Epoch 34: Rec Loss: 0.4971, Time: 15.52
Epoch 35: Rec Loss: 0.4967, Time: 15.53
Epoch 36: Rec Loss: 0.5014, Time: 15.63
Epoch 37: Rec Loss: 0.5039, Time: 15.65
Epoch 38: Rec Loss: 0.5027, Time: 15.65
Epoch 39: Rec Loss: 0.5058, Time: 15.64
Validation - Time: 152.01
Recommendation Performanceat Epoch 39:
Recall@20: 0.0032, NDCG@20: 0.0016;
Recall@50: 0.0085, NDCG@50: 0.0031;
Epoch 40: Rec Loss: 0.4978, Time: 15.53
Epoch 41: Rec Loss: 0.4992, Time: 15.52
Epoch 42: Rec Loss: 0.4973, Time: 15.53
Epoch 43: Rec Loss: 0.4898, Time: 15.52
Epoch 44: Rec Loss: 0.4931, Time: 15.52
Epoch 45: Rec Loss: 0.4960, Time: 15.52
Epoch 46: Rec Loss: 0.4927, Time: 15.51
Epoch 47: Rec Loss: 0.4884, Time: 15.52
Epoch 48: Rec Loss: 0.4931, Time: 15.53
Epoch 49: Rec Loss: 0.4923, Time: 15.53
Epoch 50: Rec Loss: 0.4994, Time: 15.53
Epoch 51: Rec Loss: 0.5084, Time: 15.49
Epoch 52: Rec Loss: 0.4939, Time: 15.53
Epoch 53: Rec Loss: 0.4948, Time: 15.52
Epoch 54: Rec Loss: 0.4948, Time: 15.52
Epoch 55: Rec Loss: 0.4965, Time: 15.54
Epoch 56: Rec Loss: 0.4895, Time: 15.53
Epoch 57: Rec Loss: 0.4948, Time: 15.54
Epoch 58: Rec Loss: 0.5024, Time: 15.53
Epoch 59: Rec Loss: 0.4960, Time: 15.54
