{'seed': 2027, 'model': 'MF', 'dataset': 'MIND', 'min_interaction': 10, 'noise': 0.0, 'add_p': 1.0, 'out_dim': 64, 'use_gpu': True, 'device': device(type='cuda'), 'device_id': [0], 'batch_size': 2048, 'test_batch_size': 2048, 'patience': 100, 'val_interval': 20, 'lr': 0.001, 'weight_decay': 0.001, 'min_epochs': 40, 'n_epochs': 100, 'rec_top_k': [20, 50], 'method': 'VQ', 'temp': 0.1, 'item_num': 5, 'num_codebook': 256, 'num_hirearchy': 3, 'begin_adv': 20, 'main_file': '2025041710_0.001_0.001_20_256', 'model_config': {'device': device(type='cuda'), 'dim': 64, 'denoise_config': {'num_codebook': 256, 'num_hirearchy': 3, 'codebook_dimension': 64, 'begin_adv': 20}, 'n_users': 38441, 'n_items': 38000}, 'checkpoints': 'checkpoints'}
MF
{'device': device(type='cuda'), 'dim': 64, 'denoise_config': {'num_codebook': 256, 'num_hirearchy': 3, 'codebook_dimension': 64, 'begin_adv': 20}}
#User: 38441, #Item: 38000, #Ratings: 1210953, AvgLen: 31.5, Sparsity: 99.92
Create Dataloader with batch_size:2048
Epoch 0: Rec Loss: 0.6869, Time: 6.58
Epoch 1: Rec Loss: 0.6604, Time: 6.55
Epoch 2: Rec Loss: 0.6017, Time: 6.56
Epoch 3: Rec Loss: 0.4628, Time: 6.56
Epoch 4: Rec Loss: 0.3066, Time: 6.57
Epoch 5: Rec Loss: 0.2160, Time: 6.56
Epoch 6: Rec Loss: 0.1730, Time: 6.56
Epoch 7: Rec Loss: 0.1507, Time: 6.67
Epoch 8: Rec Loss: 0.1371, Time: 6.71
Epoch 9: Rec Loss: 0.1268, Time: 6.75
Epoch 10: Rec Loss: 0.1199, Time: 6.78
Epoch 11: Rec Loss: 0.1127, Time: 6.79
Epoch 12: Rec Loss: 0.1077, Time: 6.78
Epoch 13: Rec Loss: 0.1029, Time: 6.77
Epoch 14: Rec Loss: 0.0990, Time: 6.79
Epoch 15: Rec Loss: 0.0955, Time: 6.77
Epoch 16: Rec Loss: 0.0924, Time: 6.79
Epoch 17: Rec Loss: 0.0891, Time: 6.79
Epoch 18: Rec Loss: 0.0861, Time: 6.79
Epoch 19: Rec Loss: 0.0837, Time: 6.78
Validation - Time: 153.42
Recommendation Performanceat Epoch 19:
Recall@20: 0.0569, NDCG@20: 0.0328;
Recall@50: 0.1078, NDCG@50: 0.0476;
Epoch 20: Rec Loss: 0.0555, Time: 9.83
Epoch 21: Rec Loss: 0.0553, Time: 9.82
Epoch 22: Rec Loss: 0.0541, Time: 9.81
Epoch 23: Rec Loss: 0.0539, Time: 9.84
Epoch 24: Rec Loss: 0.0532, Time: 9.82
Epoch 25: Rec Loss: 0.0528, Time: 9.98
Epoch 26: Rec Loss: 0.0526, Time: 10.01
Epoch 27: Rec Loss: 0.0515, Time: 9.99
Epoch 28: Rec Loss: 0.0501, Time: 9.99
Epoch 29: Rec Loss: 0.0493, Time: 10.00
Epoch 30: Rec Loss: 0.0483, Time: 9.98
Epoch 31: Rec Loss: 0.0474, Time: 10.09
Epoch 32: Rec Loss: 0.0464, Time: 10.02
Epoch 33: Rec Loss: 0.0456, Time: 10.05
Epoch 34: Rec Loss: 0.0452, Time: 10.05
Epoch 35: Rec Loss: 0.0443, Time: 10.05
Epoch 36: Rec Loss: 0.0443, Time: 9.98
Epoch 37: Rec Loss: 0.0441, Time: 9.98
Epoch 38: Rec Loss: 0.0445, Time: 9.99
Epoch 39: Rec Loss: 0.0442, Time: 9.99
Validation - Time: 152.94
Recommendation Performanceat Epoch 39:
Recall@20: 0.0626, NDCG@20: 0.0365;
Recall@50: 0.1163, NDCG@50: 0.0521;
Epoch 40: Rec Loss: 0.0438, Time: 9.82
Epoch 41: Rec Loss: 0.0437, Time: 9.81
Epoch 42: Rec Loss: 0.0433, Time: 9.83
Epoch 43: Rec Loss: 0.0431, Time: 9.82
Epoch 44: Rec Loss: 0.0426, Time: 9.81
Epoch 45: Rec Loss: 0.0423, Time: 9.90
Epoch 46: Rec Loss: 0.0418, Time: 10.01
Epoch 47: Rec Loss: 0.0416, Time: 10.00
Epoch 48: Rec Loss: 0.0416, Time: 10.00
Epoch 49: Rec Loss: 0.0412, Time: 10.02
Epoch 50: Rec Loss: 0.0413, Time: 10.01
Epoch 51: Rec Loss: 0.0409, Time: 10.00
Epoch 52: Rec Loss: 0.0408, Time: 10.00
Epoch 53: Rec Loss: 0.0409, Time: 10.00
Epoch 54: Rec Loss: 0.0407, Time: 9.99
Epoch 55: Rec Loss: 0.0404, Time: 10.03
Epoch 56: Rec Loss: 0.0403, Time: 10.07
Epoch 57: Rec Loss: 0.0401, Time: 10.05
Epoch 58: Rec Loss: 0.0399, Time: 10.06
Epoch 59: Rec Loss: 0.0399, Time: 10.05
Validation - Time: 152.90
Recommendation Performanceat Epoch 59:
Recall@20: 0.0672, NDCG@20: 0.0386;
Recall@50: 0.1238, NDCG@50: 0.0551;
Epoch 60: Rec Loss: 0.0395, Time: 9.83
Epoch 61: Rec Loss: 0.0393, Time: 9.82
Epoch 62: Rec Loss: 0.0394, Time: 9.83
Epoch 63: Rec Loss: 0.0391, Time: 9.81
Epoch 64: Rec Loss: 0.0388, Time: 9.81
Epoch 65: Rec Loss: 0.0387, Time: 9.82
Epoch 66: Rec Loss: 0.0387, Time: 9.99
Epoch 67: Rec Loss: 0.0385, Time: 10.01
Epoch 68: Rec Loss: 0.0382, Time: 10.00
Epoch 69: Rec Loss: 0.0385, Time: 9.98
Epoch 70: Rec Loss: 0.0384, Time: 9.99
Epoch 71: Rec Loss: 0.0383, Time: 10.01
Epoch 72: Rec Loss: 0.0382, Time: 10.00
Epoch 73: Rec Loss: 0.0381, Time: 9.99
Epoch 74: Rec Loss: 0.0379, Time: 9.99
Epoch 75: Rec Loss: 0.0375, Time: 10.00
Epoch 76: Rec Loss: 0.0373, Time: 9.99
Epoch 77: Rec Loss: 0.0374, Time: 9.98
Epoch 78: Rec Loss: 0.0375, Time: 10.00
Epoch 79: Rec Loss: 0.0375, Time: 9.98
Validation - Time: 153.13
Recommendation Performanceat Epoch 79:
Recall@20: 0.0705, NDCG@20: 0.0415;
Recall@50: 0.1283, NDCG@50: 0.0584;
Epoch 80: Rec Loss: 0.0373, Time: 9.82
Epoch 81: Rec Loss: 0.0372, Time: 9.83
Epoch 82: Rec Loss: 0.0369, Time: 9.82
Epoch 83: Rec Loss: 0.0370, Time: 9.82
Epoch 84: Rec Loss: 0.0367, Time: 9.83
Epoch 85: Rec Loss: 0.0368, Time: 9.81
Epoch 86: Rec Loss: 0.0368, Time: 9.96
Epoch 87: Rec Loss: 0.0364, Time: 10.00
Epoch 88: Rec Loss: 0.0366, Time: 10.05
Epoch 89: Rec Loss: 0.0365, Time: 10.05
Epoch 90: Rec Loss: 0.0364, Time: 10.04
Epoch 91: Rec Loss: 0.0365, Time: 10.05
Epoch 92: Rec Loss: 0.0365, Time: 10.06
Epoch 93: Rec Loss: 0.0362, Time: 10.05
Epoch 94: Rec Loss: 0.0362, Time: 10.07
Epoch 95: Rec Loss: 0.0360, Time: 10.06
Epoch 96: Rec Loss: 0.0359, Time: 10.07
Epoch 97: Rec Loss: 0.0359, Time: 10.06
Epoch 98: Rec Loss: 0.0361, Time: 10.05
Epoch 99: Rec Loss: 0.0360, Time: 10.07
Validation - Time: 152.99
Recommendation Performanceat Epoch 99:
Recall@20: 0.0724, NDCG@20: 0.0423;
Recall@50: 0.1331, NDCG@50: 0.0601;
Test - Time: 223.20
Recommendation Performance:
Recall@20: 0.0721, NDCG@20: 0.0480;
Recall@50: 0.1321, NDCG@50: 0.0678;
