{'seed': 2024, 'model': 'MF', 'dataset': 'MIND', 'min_interaction': 10, 'noise': 0.0, 'add_p': 1.0, 'out_dim': 64, 'use_gpu': True, 'device': device(type='cuda'), 'device_id': [0], 'batch_size': 2048, 'test_batch_size': 2048, 'patience': 100, 'val_interval': 20, 'lr': 0.01, 'weight_decay': 0.0001, 'min_epochs': 40, 'n_epochs': 100, 'rec_top_k': [20, 50], 'method': 'VQ', 'temp': 0.1, 'item_num': 5, 'num_codebook': 512, 'num_hirearchy': 3, 'begin_adv': 20, 'main_file': '2025041710_0.01_0.0001_20_512'}
MF
{'device': device(type='cuda'), 'dim': 64, 'denoise_config': {'num_codebook': 512, 'num_hirearchy': 3, 'codebook_dimension': 64, 'begin_adv': 20}}
#User: 38441, #Item: 38000, #Ratings: 1210953, AvgLen: 31.5, Sparsity: 99.92
Create Dataloader with batch_size:2048
Epoch 0: Rec Loss: 0.4438, Time: 6.78
Epoch 1: Rec Loss: 0.1111, Time: 6.64
Epoch 2: Rec Loss: 0.0843, Time: 6.67
Epoch 3: Rec Loss: 0.0730, Time: 6.61
Epoch 4: Rec Loss: 0.0665, Time: 6.61
Epoch 5: Rec Loss: 0.0618, Time: 6.65
Epoch 6: Rec Loss: 0.0586, Time: 6.61
Epoch 7: Rec Loss: 0.0559, Time: 6.65
Epoch 8: Rec Loss: 0.0546, Time: 6.62
Epoch 9: Rec Loss: 0.0525, Time: 6.65
Epoch 10: Rec Loss: 0.0513, Time: 6.61
Epoch 11: Rec Loss: 0.0501, Time: 6.62
Epoch 12: Rec Loss: 0.0495, Time: 6.65
Epoch 13: Rec Loss: 0.0481, Time: 6.64
Epoch 14: Rec Loss: 0.0477, Time: 6.65
Epoch 15: Rec Loss: 0.0472, Time: 6.62
Epoch 16: Rec Loss: 0.0462, Time: 6.66
Epoch 17: Rec Loss: 0.0455, Time: 6.64
Epoch 18: Rec Loss: 0.0447, Time: 6.62
Epoch 19: Rec Loss: 0.0442, Time: 6.72
Validation - Time: 150.12
Recommendation Performanceat Epoch 19:
Recall@20: 0.0386, NDCG@20: 0.0217;
Recall@50: 0.0769, NDCG@50: 0.0329;
Epoch 20: Rec Loss: 0.0262, Time: 11.95
Epoch 21: Rec Loss: 0.0250, Time: 11.92
Epoch 22: Rec Loss: 0.0243, Time: 11.89
Epoch 23: Rec Loss: 0.0234, Time: 11.83
Epoch 24: Rec Loss: 0.0228, Time: 11.86
