{'seed': 2025, 'model': 'LightGCN', 'dataset': 'Yelp', 'min_interaction': 10, 'noise': 0.0, 'add_p': 1.0, 'out_dim': 64, 'use_gpu': True, 'device': device(type='cuda'), 'device_id': [0], 'batch_size': 2048, 'test_batch_size': 2048, 'patience': 100, 'val_interval': 20, 'lr': 0.01, 'weight_decay': 0.0001, 'min_epochs': 40, 'n_epochs': 100, 'rec_top_k': [20, 50], 'method': 'VQ', 'temp': 0.1, 'item_num': 5, 'num_codebook': 512, 'num_hirearchy': 3, 'begin_adv': 10, 'main_file': '2025041811_0.01_0.0001_10_512', 'model_config': {'device': device(type='cuda'), 'dim': 64, 'n_layers': 4, 'denoise_config': {'num_codebook': 512, 'num_hirearchy': 3, 'codebook_dimension': 64, 'begin_adv': 10}, 'n_users': 31668, 'n_items': 38048}, 'checkpoints': 'checkpoints'}
LightGCN
{'device': device(type='cuda'), 'dim': 64, 'n_layers': 4, 'denoise_config': {'num_codebook': 512, 'num_hirearchy': 3, 'codebook_dimension': 64, 'begin_adv': 10}}
#User: 31668, #Item: 38048, #Ratings: 1561406, AvgLen: 49.3, Sparsity: 99.88
Create Dataloader with batch_size:2048
Epoch 0: Rec Loss: 0.1650, Time: 15.28
Epoch 1: Rec Loss: 0.1096, Time: 15.26
Epoch 2: Rec Loss: 0.0960, Time: 15.28
Epoch 3: Rec Loss: 0.0875, Time: 15.25
Epoch 4: Rec Loss: 0.0808, Time: 15.27
Epoch 5: Rec Loss: 0.0758, Time: 15.26
Epoch 6: Rec Loss: 0.0717, Time: 15.28
Epoch 7: Rec Loss: 0.0681, Time: 15.23
Epoch 8: Rec Loss: 0.0652, Time: 15.25
Epoch 9: Rec Loss: 0.0622, Time: 15.29
Epoch 10: Rec Loss: 0.0347, Time: 22.51
Epoch 11: Rec Loss: 0.0310, Time: 22.56
Epoch 12: Rec Loss: 0.0346, Time: 22.53
Epoch 13: Rec Loss: 0.0359, Time: 22.51
Epoch 14: Rec Loss: 0.0319, Time: 22.49
Epoch 15: Rec Loss: 0.0321, Time: 22.49
Epoch 16: Rec Loss: 0.0293, Time: 22.52
Epoch 17: Rec Loss: 0.0266, Time: 22.50
Epoch 18: Rec Loss: 0.0274, Time: 22.50
Epoch 19: Rec Loss: 0.0284, Time: 22.53
Validation - Time: 182.43
Recommendation Performanceat Epoch 19:
Recall@20: 0.0767, NDCG@20: 0.0511;
Recall@50: 0.1447, NDCG@50: 0.0734;
Epoch 20: Rec Loss: 0.0256, Time: 22.70
Epoch 21: Rec Loss: 0.0256, Time: 22.72
Epoch 22: Rec Loss: 0.0256, Time: 22.82
Epoch 23: Rec Loss: 0.0266, Time: 22.68
Epoch 24: Rec Loss: 0.0270, Time: 22.68
Epoch 25: Rec Loss: 0.0261, Time: 22.73
Epoch 26: Rec Loss: 0.0266, Time: 22.69
Epoch 27: Rec Loss: 0.0253, Time: 22.70
Epoch 28: Rec Loss: 0.0255, Time: 22.70
Epoch 29: Rec Loss: 0.0265, Time: 22.70
Epoch 30: Rec Loss: 0.0229, Time: 22.68
Epoch 31: Rec Loss: 0.0254, Time: 22.66
Epoch 32: Rec Loss: 0.0258, Time: 22.71
Epoch 33: Rec Loss: 0.0268, Time: 22.68
Epoch 34: Rec Loss: 0.0275, Time: 22.65
Epoch 35: Rec Loss: 0.0289, Time: 22.46
Epoch 36: Rec Loss: 0.0261, Time: 22.47
Epoch 37: Rec Loss: 0.0245, Time: 22.45
Epoch 38: Rec Loss: 0.0258, Time: 22.45
