{'seed': 2024, 'model': 'LightGCN', 'dataset': 'Yelp', 'min_interaction': 10, 'noise': 0.0, 'add_p': 1.0, 'out_dim': 64, 'use_gpu': True, 'device': device(type='cuda'), 'device_id': [0], 'batch_size': 2048, 'test_batch_size': 2048, 'patience': 100, 'val_interval': 20, 'lr': 0.001, 'weight_decay': 0.001, 'min_epochs': 40, 'n_epochs': 100, 'rec_top_k': [20, 50], 'method': 'VQ', 'temp': 0.1, 'item_num': 5, 'num_codebook': 256, 'num_hirearchy': 3, 'main_file': '2025041611_0.001_0.001_256'}
LightGCN
{'device': device(type='cuda'), 'dim': 64, 'n_layers': 4, 'denoise_config': {'num_codebook': 256, 'num_hirearchy': 3, 'codebook_dimension': 64, 'begin_adv': 10}}
#User: 31668, #Item: 38048, #Ratings: 1561406, AvgLen: 49.3, Sparsity: 99.88
Create Dataloader with batch_size:2048
/home/minseo/vq2/PLD/utls/mydataset.py:196: UserWarning: torch.sparse.SparseTensor(indices, values, shape, *, device=) is deprecated.  Please use torch.sparse_coo_tensor(indices, values, shape, dtype=, device=). (Triggered internally at /opt/conda/conda-bld/pytorch_1708025845206/work/torch/csrc/utils/tensor_new.cpp:618.)
  Graph = torch.sparse.IntTensor(index, data, torch.Size([self.n_users+self.n_items, self.n_users+self.n_items]))
Epoch 0: Rec Loss: 0.3855, Time: 14.64
Epoch 1: Rec Loss: 0.1845, Time: 14.22
Epoch 2: Rec Loss: 0.1726, Time: 14.26
Epoch 3: Rec Loss: 0.1675, Time: 14.25
Epoch 4: Rec Loss: 0.1616, Time: 14.26
Epoch 5: Rec Loss: 0.1579, Time: 14.26
Epoch 6: Rec Loss: 0.1540, Time: 14.26
Epoch 7: Rec Loss: 0.1499, Time: 14.28
Epoch 8: Rec Loss: 0.1456, Time: 14.28
Epoch 9: Rec Loss: 0.1427, Time: 14.36
Epoch 10: Rec Loss: 0.1019, Time: 18.48
Epoch 11: Rec Loss: 0.1091, Time: 18.44
Epoch 12: Rec Loss: 0.1100, Time: 18.44
Epoch 13: Rec Loss: 0.1061, Time: 18.43
Epoch 14: Rec Loss: 0.1011, Time: 18.43
Epoch 15: Rec Loss: 0.1079, Time: 18.43
Epoch 16: Rec Loss: 0.1072, Time: 18.57
Epoch 17: Rec Loss: 0.1061, Time: 18.49
Epoch 18: Rec Loss: 0.1029, Time: 18.47
Epoch 19: Rec Loss: 0.1058, Time: 18.45
Validation - Time: 179.84
Recommendation Performanceat Epoch 19:
Recall@20: 0.0544, NDCG@20: 0.0354;
Recall@50: 0.1034, NDCG@50: 0.0515;
Epoch 20: Rec Loss: 0.1047, Time: 18.43
Epoch 21: Rec Loss: 0.1011, Time: 18.44
