{'seed': 2025, 'model': 'MF', 'dataset': 'Yelp', 'min_interaction': 10, 'noise': 0.0, 'add_p': 1.0, 'out_dim': 64, 'use_gpu': True, 'device': device(type='cuda'), 'device_id': [0], 'batch_size': 2048, 'test_batch_size': 2048, 'patience': 100, 'val_interval': 20, 'lr': 0.001, 'weight_decay': 0.0001, 'min_epochs': 40, 'n_epochs': 100, 'rec_top_k': [20, 50], 'method': 'VQ', 'temp': 0.1, 'item_num': 5, 'num_codebook': 256, 'num_hirearchy': 3, 'begin_adv': 10, 'main_file': '2025041718_0.001_0.0001_10_256', 'model_config': {'device': device(type='cuda'), 'dim': 64, 'denoise_config': {'num_codebook': 256, 'num_hirearchy': 3, 'codebook_dimension': 64, 'begin_adv': 10}, 'n_users': 31668, 'n_items': 38048}, 'checkpoints': 'checkpoints'}
MF
{'device': device(type='cuda'), 'dim': 64, 'denoise_config': {'num_codebook': 256, 'num_hirearchy': 3, 'codebook_dimension': 64, 'begin_adv': 10}}
#User: 31668, #Item: 38048, #Ratings: 1561406, AvgLen: 49.3, Sparsity: 99.88
Create Dataloader with batch_size:2048
Epoch 0: Rec Loss: 0.6834, Time: 9.60
Epoch 1: Rec Loss: 0.6555, Time: 9.62
Epoch 2: Rec Loss: 0.6108, Time: 9.59
Epoch 3: Rec Loss: 0.5293, Time: 9.64
Epoch 4: Rec Loss: 0.4145, Time: 9.63
Epoch 5: Rec Loss: 0.3014, Time: 9.59
Epoch 6: Rec Loss: 0.2174, Time: 9.60
Epoch 7: Rec Loss: 0.1628, Time: 9.66
Epoch 8: Rec Loss: 0.1282, Time: 9.65
Epoch 9: Rec Loss: 0.1060, Time: 9.63
Epoch 10: Rec Loss: 0.0525, Time: 14.07
Epoch 11: Rec Loss: 0.0467, Time: 14.07
Epoch 12: Rec Loss: 0.0454, Time: 14.05
Epoch 13: Rec Loss: 0.0409, Time: 14.04
Epoch 14: Rec Loss: 0.0378, Time: 14.09
Epoch 15: Rec Loss: 0.0354, Time: 14.09
Epoch 16: Rec Loss: 0.0331, Time: 14.09
Epoch 17: Rec Loss: 0.0314, Time: 14.11
Epoch 18: Rec Loss: 0.0295, Time: 14.10
Epoch 19: Rec Loss: 0.0278, Time: 14.10
Validation - Time: 176.47
Recommendation Performanceat Epoch 19:
Recall@20: 0.0500, NDCG@20: 0.0327;
Recall@50: 0.0974, NDCG@50: 0.0484;
Epoch 20: Rec Loss: 0.0262, Time: 13.90
Epoch 21: Rec Loss: 0.0244, Time: 13.91
Epoch 22: Rec Loss: 0.0237, Time: 14.00
Epoch 23: Rec Loss: 0.0217, Time: 13.88
Epoch 24: Rec Loss: 0.0211, Time: 13.98
Epoch 25: Rec Loss: 0.0206, Time: 14.02
Epoch 26: Rec Loss: 0.0198, Time: 14.03
Epoch 27: Rec Loss: 0.0179, Time: 14.10
Epoch 28: Rec Loss: 0.0163, Time: 14.05
Epoch 29: Rec Loss: 0.0160, Time: 14.08
Epoch 30: Rec Loss: 0.0157, Time: 14.06
Epoch 31: Rec Loss: 0.0154, Time: 14.07
Epoch 32: Rec Loss: 0.0152, Time: 14.03
Epoch 33: Rec Loss: 0.0148, Time: 14.07
Epoch 34: Rec Loss: 0.0149, Time: 14.07
Epoch 35: Rec Loss: 0.0145, Time: 14.08
Epoch 36: Rec Loss: 0.0145, Time: 14.12
Epoch 37: Rec Loss: 0.0139, Time: 14.09
Epoch 38: Rec Loss: 0.0135, Time: 14.09
Epoch 39: Rec Loss: 0.0133, Time: 14.03
Validation - Time: 176.11
Recommendation Performanceat Epoch 39:
