{'seed': 2024, 'model': 'MF', 'dataset': 'Yelp', 'min_interaction': 10, 'noise': 0.0, 'add_p': 1.0, 'out_dim': 64, 'use_gpu': True, 'device': device(type='cuda'), 'device_id': [0], 'batch_size': 2048, 'test_batch_size': 2048, 'patience': 100, 'val_interval': 20, 'lr': 0.01, 'weight_decay': 0.001, 'min_epochs': 40, 'n_epochs': 100, 'rec_top_k': [20, 50], 'method': 'VQ', 'temp': 0.1, 'item_num': 5, 'num_codebook': 512, 'num_hirearchy': 3, 'begin_adv': 10, 'main_file': '2025041720_0.01_0.001_10_512'}
MF
{'device': device(type='cuda'), 'dim': 64, 'denoise_config': {'num_codebook': 512, 'num_hirearchy': 3, 'codebook_dimension': 64, 'begin_adv': 10}}
#User: 31668, #Item: 38048, #Ratings: 1561406, AvgLen: 49.3, Sparsity: 99.88
Create Dataloader with batch_size:2048
Epoch 0: Rec Loss: 0.4913, Time: 9.65
Epoch 1: Rec Loss: 0.1438, Time: 9.53
Epoch 2: Rec Loss: 0.1009, Time: 9.53
Epoch 3: Rec Loss: 0.0933, Time: 9.50
Epoch 4: Rec Loss: 0.0911, Time: 9.47
Epoch 5: Rec Loss: 0.0903, Time: 9.54
Epoch 6: Rec Loss: 0.0911, Time: 9.51
Epoch 7: Rec Loss: 0.0904, Time: 9.51
Epoch 8: Rec Loss: 0.0907, Time: 9.35
Epoch 9: Rec Loss: 0.0909, Time: 9.36
Epoch 10: Rec Loss: 0.0595, Time: 16.53
Epoch 11: Rec Loss: 0.0570, Time: 16.48
Epoch 12: Rec Loss: 0.0513, Time: 16.50
Epoch 13: Rec Loss: 0.0482, Time: 16.49
Epoch 14: Rec Loss: 0.0470, Time: 16.45
Epoch 15: Rec Loss: 0.0484, Time: 16.46
Epoch 16: Rec Loss: 0.0502, Time: 16.50
Epoch 17: Rec Loss: 0.0528, Time: 16.72
Epoch 18: Rec Loss: 0.0527, Time: 16.73
Epoch 19: Rec Loss: 0.0535, Time: 16.53
Validation - Time: 179.62
Recommendation Performanceat Epoch 19:
Recall@20: 0.0415, NDCG@20: 0.0259;
Recall@50: 0.0887, NDCG@50: 0.0413;
Epoch 20: Rec Loss: 0.0524, Time: 16.32
Epoch 21: Rec Loss: 0.0525, Time: 16.33
Epoch 22: Rec Loss: 0.0533, Time: 16.47
Epoch 23: Rec Loss: 0.0538, Time: 16.51
Epoch 24: Rec Loss: 0.0538, Time: 16.55
Epoch 25: Rec Loss: 0.0530, Time: 16.52
Epoch 26: Rec Loss: 0.0533, Time: 16.59
Epoch 27: Rec Loss: 0.0538, Time: 16.73
Epoch 28: Rec Loss: 0.0532, Time: 16.72
Epoch 29: Rec Loss: 0.0529, Time: 16.73
Epoch 30: Rec Loss: 0.0536, Time: 16.74
Epoch 31: Rec Loss: 0.0538, Time: 16.74
Epoch 32: Rec Loss: 0.0541, Time: 16.73
Epoch 33: Rec Loss: 0.0523, Time: 16.73
Epoch 34: Rec Loss: 0.0520, Time: 16.55
Epoch 35: Rec Loss: 0.0512, Time: 16.48
Epoch 36: Rec Loss: 0.0518, Time: 16.47
Epoch 37: Rec Loss: 0.0534, Time: 16.50
Epoch 38: Rec Loss: 0.0517, Time: 16.50
Epoch 39: Rec Loss: 0.0520, Time: 16.51
Validation - Time: 180.35
Recommendation Performanceat Epoch 39:
Recall@20: 0.0467, NDCG@20: 0.0288;
Recall@50: 0.0958, NDCG@50: 0.0450;
Epoch 40: Rec Loss: 0.0533, Time: 16.73
Epoch 41: Rec Loss: 0.0534, Time: 16.59
Epoch 42: Rec Loss: 0.0537, Time: 16.45
Epoch 43: Rec Loss: 0.0533, Time: 16.45
Epoch 44: Rec Loss: 0.0526, Time: 16.48
Epoch 45: Rec Loss: 0.0509, Time: 16.50
Epoch 46: Rec Loss: 0.0504, Time: 16.48
Epoch 47: Rec Loss: 0.0492, Time: 16.47
Epoch 48: Rec Loss: 0.0487, Time: 16.48
Epoch 49: Rec Loss: 0.0484, Time: 16.65
Epoch 50: Rec Loss: 0.0492, Time: 16.72
Epoch 51: Rec Loss: 0.0483, Time: 16.72
Epoch 52: Rec Loss: 0.0488, Time: 16.71
Epoch 53: Rec Loss: 0.0482, Time: 16.72
Epoch 54: Rec Loss: 0.0479, Time: 16.74
Epoch 55: Rec Loss: 0.0476, Time: 16.71
Epoch 56: Rec Loss: 0.0468, Time: 16.72
Epoch 57: Rec Loss: 0.0458, Time: 16.71
Epoch 58: Rec Loss: 0.0467, Time: 16.71
Epoch 59: Rec Loss: 0.0475, Time: 16.63
Validation - Time: 179.27
Recommendation Performanceat Epoch 59:
Recall@20: 0.0461, NDCG@20: 0.0288;
Recall@50: 0.0978, NDCG@50: 0.0458;
Epoch 60: Rec Loss: 0.0468, Time: 16.50
Epoch 61: Rec Loss: 0.0484, Time: 16.46
Epoch 62: Rec Loss: 0.0482, Time: 16.44
Epoch 63: Rec Loss: 0.0476, Time: 16.47
Epoch 64: Rec Loss: 0.0472, Time: 16.47
Epoch 65: Rec Loss: 0.0477, Time: 16.44
Epoch 66: Rec Loss: 0.0466, Time: 16.48
Epoch 67: Rec Loss: 0.0461, Time: 16.51
Epoch 68: Rec Loss: 0.0452, Time: 16.74
Epoch 69: Rec Loss: 0.0466, Time: 16.73
Epoch 70: Rec Loss: 0.0484, Time: 16.72
Epoch 71: Rec Loss: 0.0479, Time: 16.73
Epoch 72: Rec Loss: 0.0461, Time: 16.75
Epoch 73: Rec Loss: 0.0466, Time: 16.76
Epoch 74: Rec Loss: 0.0474, Time: 16.72
Epoch 75: Rec Loss: 0.0468, Time: 16.73
Epoch 76: Rec Loss: 0.0456, Time: 16.65
Epoch 77: Rec Loss: 0.0458, Time: 16.47
Epoch 78: Rec Loss: 0.0461, Time: 16.51
Epoch 79: Rec Loss: 0.0464, Time: 16.47
Validation - Time: 179.57
Recommendation Performanceat Epoch 79:
Recall@20: 0.0478, NDCG@20: 0.0298;
Recall@50: 0.0988, NDCG@50: 0.0465;
Epoch 80: Rec Loss: 0.0447, Time: 16.73
Epoch 81: Rec Loss: 0.0455, Time: 16.74
Epoch 82: Rec Loss: 0.0456, Time: 16.74
Epoch 83: Rec Loss: 0.0459, Time: 16.71
Epoch 84: Rec Loss: 0.0461, Time: 16.48
Epoch 85: Rec Loss: 0.0469, Time: 16.42
Epoch 86: Rec Loss: 0.0466, Time: 16.33
Epoch 87: Rec Loss: 0.0465, Time: 16.30
Epoch 88: Rec Loss: 0.0467, Time: 16.32
Epoch 89: Rec Loss: 0.0463, Time: 16.30
Epoch 90: Rec Loss: 0.0453, Time: 16.30
Epoch 91: Rec Loss: 0.0447, Time: 16.40
Epoch 92: Rec Loss: 0.0450, Time: 16.56
Epoch 93: Rec Loss: 0.0449, Time: 16.56
Epoch 94: Rec Loss: 0.0462, Time: 16.56
Epoch 95: Rec Loss: 0.0456, Time: 16.54
Epoch 96: Rec Loss: 0.0446, Time: 16.53
Epoch 97: Rec Loss: 0.0451, Time: 16.53
Epoch 98: Rec Loss: 0.0454, Time: 16.54
Epoch 99: Rec Loss: 0.0455, Time: 16.57
Validation - Time: 180.65
Recommendation Performanceat Epoch 99:
Recall@20: 0.0496, NDCG@20: 0.0310;
Recall@50: 0.1025, NDCG@50: 0.0482;
Test - Time: 290.70
Recommendation Performance:
Recall@20: 0.0499, NDCG@20: 0.0365;
Recall@50: 0.1016, NDCG@50: 0.0565;
